time,crd,vel,ekin,epot,etotal,coff_0,coff_1,prob,random,state
90.000,-3.69502483,0.01449918,0.21022629,-0.00997230,0.20025399,1.00000000,0.00000000,0.00000000,0.14583129,0
91.000,-3.68052566,0.01449916,0.21022565,-0.00997165,0.20025400,1.00000000,0.00000000,0.00000000,0.09140891,0
92.000,-3.66602651,0.01449914,0.21022500,-0.00997098,0.20025402,1.00000000,0.00000000,0.00000000,0.52565189,0
93.000,-3.65152738,0.01449912,0.21022434,-0.00997030,0.20025403,1.00000000,0.00000000,0.00000000,0.91761979,0
94.000,-3.63702828,0.01449909,0.21022365,-0.00996960,0.20025405,1.00000000,0.00000000,0.00000000,0.51956968,0
95.000,-3.62252920,0.01449907,0.21022296,-0.00996889,0.20025407,1.00000000,0.00000000,0.00000000,0.35393407,0
96.000,-3.60803015,0.01449904,0.21022224,-0.00996816,0.20025408,1.00000000,0.00000000,0.00000000,0.26149855,0
97.000,-3.59353112,0.01449902,0.21022151,-0.00996741,0.20025410,1.00000000,0.00000000,0.00000000,0.50522145,0
98.000,-3.57903211,0.01449899,0.21022077,-0.00996665,0.20025412,1.00000000,0.00000000,0.00000000,0.84651001,0
99.000,-3.56453313,0.01449897,0.21022000,-0.00996587,0.20025414,1.00000000,0.00000000,0.00000000,0.76504574,0
100.000,-3.55003418,0.01449894,0.21021922,-0.00996507,0.20025415,1.00000000,0.00000000,0.00000000,0.38835028,0
101.000,-3.53553525,0.01449891,0.21021842,-0.00996425,0.20025417,1.00000000,0.00000000,0.00000000,0.76589990,0
102.000,-3.52103636,0.01449888,0.21021760,-0.00996341,0.20025419,1.00000000,0.00000000,0.00000000,0.92373979,0
103.000,-3.50653749,0.01449885,0.21021676,-0.00996255,0.20025421,1.00000000,0.00000000,0.00000000,0.46648978,0
104.000,-3.49203865,0.01449882,0.21021590,-0.00996167,0.20025423,1.00000000,0.00000000,0.00000000,0.39940413,0
105.000,-3.47753984,0.01449879,0.21021502,-0.00996077,0.20025425,1.00000000,0.00000000,0.00000000,0.74591019,0
106.000,-3.46304106,0.01449876,0.21021412,-0.00995985,0.20025427,1.00000000,0.00000000,0.00000000,0.83846574,0
107.000,-3.44854232,0.01449873,0.21021320,-0.00995891,0.20025430,1.00000000,0.00000000,0.00000000,0.46283098,0
108.000,-3.43404360,0.01449870,0.21021226,-0.00995794,0.20025432,1.00000000,0.00000000,0.00000000,0.78872722,0
109.000,-3.41954492,0.01449867,0.21021129,-0.00995695,0.20025434,1.00000000,0.00000000,0.00000000,0.86029067,0
110.000,-3.40504627,0.01449863,0.21021031,-0.00995594,0.20025436,1.00000000,0.00000000,0.00000000,0.42802122,0
111.000,-3.39054766,0.01449860,0.21020930,-0.00995491,0.20025439,1.00000000,0.00000000,0.00000000,0.72759845,0
112.000,-3.37604908,0.01449856,0.21020826,-0.00995385,0.20025441,1.00000000,0.00000000,0.00000000,0.37587740,0
113.000,-3.36155054,0.01449852,0.21020720,-0.00995277,0.20025444,1.00000000,0.00000000,0.00000000,0.18306293,0
114.000,-3.34705203,0.01449849,0.21020612,-0.00995166,0.20025446,1.00000000,0.00000000,0.00000000,0.91491721,0
115.000,-3.33255356,0.01449845,0.21020501,-0.00995053,0.20025449,1.00000000,0.00000000,0.00000000,0.37841660,0
116.000,-3.31805513,0.01449841,0.21020388,-0.00994936,0.20025451,1.00000000,0.00000000,0.00000000,0.23839738,0
117.000,-3.30355674,0.01449837,0.21020272,-0.00994818,0.20025454,1.00000000,0.00000000,0.00000000,0.80831257,0
118.000,-3.28905839,0.01449833,0.21020153,-0.00994696,0.20025457,1.00000000,0.00000000,0.00000000,0.80892530,0
119.000,-3.27456009,0.01449829,0.21020031,-0.00994572,0.20025460,1.00000000,0.00000000,0.00000000,0.63438783,0
120.000,-3.26006182,0.01449824,0.21019907,-0.00994444,0.20025463,1.00000000,0.00000000,0.00000000,0.00784218,0
121.000,-3.24556360,0.01449820,0.21019779,-0.00994314,0.20025466,1.00000000,0.00000000,0.00000000,0.16347267,0
122.000,-3.23106542,0.01449815,0.21019649,-0.00994180,0.20025469,1.00000000,0.00000000,0.00000000,0.71434996,0
123.000,-3.21656729,0.01449811,0.21019516,-0.00994044,0.20025472,1.00000000,0.00000000,0.00000000,0.92033859,0
