time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
49.000,-4.28950489,0.01449976,0.21024290,-0.00998930,0.00998930,-0.00998930,0.20025360,1.00000000,0.00000000,0.00000000,0.83038991,0
50.000,-4.27500513,0.01449975,0.21024265,-0.00998905,0.00998905,-0.00998905,0.20025361,1.00000000,0.00000000,0.00000000,0.07415255,0
51.000,-4.26050539,0.01449974,0.21024240,-0.00998879,0.00998879,-0.00998879,0.20025361,1.00000000,0.00000000,0.00000000,0.61378598,0
52.000,-4.24600566,0.01449973,0.21024215,-0.00998853,0.00998853,-0.00998853,0.20025362,1.00000000,0.00000000,0.00000000,0.82024993,0
53.000,-4.23150593,0.01449972,0.21024188,-0.00998826,0.00998826,-0.00998826,0.20025362,1.00000000,0.00000000,0.00000000,0.83661744,0
54.000,-4.21700622,0.01449971,0.21024161,-0.00998798,0.00998798,-0.00998798,0.20025363,1.00000000,0.00000000,0.00000000,0.99444452,0
55.000,-4.20250651,0.01449970,0.21024134,-0.00998770,0.00998770,-0.00998770,0.20025364,1.00000000,0.00000000,0.00000000,0.66969347,0
56.000,-4.18800682,0.01449969,0.21024106,-0.00998741,0.00998741,-0.00998741,0.20025364,1.00000000,0.00000000,0.00000000,0.62344333,0
57.000,-4.17350713,0.01449968,0.21024077,-0.00998712,0.00998712,-0.00998712,0.20025365,1.00000000,0.00000000,0.00000000,0.11431768,0
58.000,-4.15900745,0.01449967,0.21024047,-0.00998681,0.00998681,-0.00998681,0.20025366,1.00000000,0.00000000,0.00000000,0.60069232,0
59.000,-4.14450779,0.01449966,0.21024017,-0.00998650,0.00998650,-0.00998650,0.20025366,1.00000000,0.00000000,0.00000000,0.62234151,0
60.000,-4.13000813,0.01449965,0.21023986,-0.00998619,0.00998619,-0.00998619,0.20025367,1.00000000,0.00000000,0.00000000,0.36625467,0
61.000,-4.11550849,0.01449964,0.21023954,-0.00998586,0.00998586,-0.00998586,0.20025368,1.00000000,0.00000000,0.00000000,0.87126699,0
62.000,-4.10100885,0.01449963,0.21023922,-0.00998553,0.00998553,-0.00998553,0.20025369,1.00000000,0.00000000,0.00000000,0.41669494,0
63.000,-4.08650923,0.01449962,0.21023889,-0.00998519,0.00998519,-0.00998519,0.20025369,1.00000000,0.00000000,0.00000000,0.10636548,0
64.000,-4.07200962,0.01449961,0.21023855,-0.00998485,0.00998485,-0.00998485,0.20025370,1.00000000,0.00000000,0.00000000,0.36106291,0
65.000,-4.05751002,0.01449959,0.21023820,-0.00998449,0.00998449,-0.00998449,0.20025371,1.00000000,0.00000000,0.00000000,0.39455854,0
66.000,-4.04301043,0.01449958,0.21023784,-0.00998413,0.00998413,-0.00998413,0.20025372,1.00000000,0.00000000,0.00000000,0.54499484,0
67.000,-4.02851086,0.01449957,0.21023748,-0.00998375,0.00998375,-0.00998375,0.20025373,1.00000000,0.00000000,0.00000000,0.19519949,0
68.000,-4.01401130,0.01449956,0.21023711,-0.00998337,0.00998337,-0.00998337,0.20025374,1.00000000,0.00000000,0.00000000,0.68903809,0
69.000,-3.99951175,0.01449954,0.21023673,-0.00998298,0.00998298,-0.00998298,0.20025374,1.00000000,0.00000000,0.00000000,0.67307858,0
70.000,-3.98501221,0.01449953,0.21023634,-0.00998258,0.00998258,-0.00998258,0.20025375,1.00000000,0.00000000,0.00000000,0.85245031,0
71.000,-3.97051269,0.01449952,0.21023594,-0.00998217,0.00998217,-0.00998217,0.20025376,1.00000000,0.00000000,0.00000000,0.71054836,0
72.000,-3.95601318,0.01449950,0.21023553,-0.00998175,0.00998175,-0.00998175,0.20025377,1.00000000,0.00000000,0.00000000,0.10742870,0
73.000,-3.94151369,0.01449949,0.21023511,-0.00998133,0.00998133,-0.00998133,0.20025378,1.00000000,0.00000000,0.00000000,0.89042643,0
74.000,-3.92701421,0.01449947,0.21023468,-0.00998089,0.00998089,-0.00998089,0.20025379,1.00000000,0.00000000,0.00000000,0.97201231,0
75.000,-3.91251474,0.01449946,0.21023424,-0.00998044,0.00998044,-0.00998044,0.20025380,1.00000000,0.00000000,0.00000000,0.25769112,0
76.000,-3.89801530,0.01449944,0.21023379,-0.00997998,0.00997998,-0.00997998,0.20025381,1.00000000,0.00000000,0.00000000,0.56052082,0
77.000,-3.88351586,0.01449943,0.21023333,-0.00997951,0.00997951,-0.00997951,0.20025382,1.00000000,0.00000000,0.00000000,0.73532102,0
78.000,-3.86901644,0.01449941,0.21023286,-0.00997903,0.00997903,-0.00997903,0.20025383,1.00000000,0.00000000,0.00000000,0.75448260,0
79.000,-3.85451704,0.01449939,0.21023238,-0.00997854,0.00997854,-0.00997854,0.20025385,1.00000000,0.00000000,0.00000000,0.64840300,0
80.000,-3.84001766,0.01449938,0.21023189,-0.00997803,0.00997803,-0.00997803,0.20025386,1.00000000,0.00000000,0.00000000,0.50426197,0
81.000,-3.82551829,0.01449936,0.21023139,-0.00997752,0.00997752,-0.00997752,0.20025387,1.00000000,0.00000000,0.00000000,0.78848942,0
82.000,-3.81101894,0.01449934,0.21023087,-0.00997699,0.00997699,-0.00997699,0.20025388,1.00000000,0.00000000,0.00000000,0.89614999,0
83.000,-3.79651961,0.01449932,0.21023034,-0.00997645,0.00997645,-0.00997645,0.20025389,1.00000000,0.00000000,0.00000000,0.62363438,0
84.000,-3.78202030,0.01449930,0.21022980,-0.00997590,0.00997590,-0.00997590,0.20025391,1.00000000,0.00000000,0.00000000,0.17524093,0
85.000,-3.76752100,0.01449928,0.21022925,-0.00997533,0.00997533,-0.00997533,0.20025392,1.00000000,0.00000000,0.00000000,0.91601675,0
86.000,-3.75302173,0.01449927,0.21022869,-0.00997475,0.00997475,-0.00997475,0.20025393,1.00000000,0.00000000,0.00000000,0.62212789,0
87.000,-3.73852247,0.01449925,0.21022811,-0.00997416,0.00997416,-0.00997416,0.20025395,1.00000000,0.00000000,0.00000000,0.18385517,0
88.000,-3.72402324,0.01449922,0.21022751,-0.00997355,0.00997355,-0.00997355,0.20025396,1.00000000,0.00000000,0.00000000,0.92594522,0
89.000,-3.70952403,0.01449920,0.21022691,-0.00997293,0.00997293,-0.00997293,0.20025397,1.00000000,0.00000000,0.00000000,0.28764250,0
90.000,-3.69502483,0.01449918,0.21022629,-0.00997230,0.00997230,-0.00997230,0.20025399,1.00000000,0.00000000,0.00000000,0.82055808,0
91.000,-3.68052566,0.01449916,0.21022565,-0.00997165,0.00997165,-0.00997165,0.20025400,1.00000000,0.00000000,0.00000000,0.37507228,0
92.000,-3.66602651,0.01449914,0.21022500,-0.00997098,0.00997098,-0.00997098,0.20025402,1.00000000,0.00000000,0.00000000,0.75922248,0
93.000,-3.65152738,0.01449912,0.21022434,-0.00997030,0.00997030,-0.00997030,0.20025403,1.00000000,0.00000000,0.00000000,0.86750172,0
94.000,-3.63702828,0.01449909,0.21022365,-0.00996960,0.00996960,-0.00996960,0.20025405,1.00000000,0.00000000,0.00000000,0.75880087,0
95.000,-3.62252920,0.01449907,0.21022296,-0.00996889,0.00996889,-0.00996889,0.20025407,1.00000000,0.00000000,0.00000000,0.23916455,0
96.000,-3.60803015,0.01449904,0.21022224,-0.00996816,0.00996816,-0.00996816,0.20025408,1.00000000,0.00000000,0.00000000,0.57160874,0
97.000,-3.59353112,0.01449902,0.21022151,-0.00996741,0.00996741,-0.00996741,0.20025410,1.00000000,0.00000000,0.00000000,0.96168658,0
98.000,-3.57903211,0.01449899,0.21022077,-0.00996665,0.00996665,-0.00996665,0.20025412,1.00000000,0.00000000,0.00000000,0.59905847,0
99.000,-3.56453313,0.01449897,0.21022000,-0.00996587,0.00996587,-0.00996587,0.20025414,1.00000000,0.00000000,0.00000000,0.17511659,0
100.000,-3.55003418,0.01449894,0.21021922,-0.00996507,0.00996507,-0.00996507,0.20025415,1.00000000,0.00000000,0.00000000,0.42066297,0
101.000,-3.53553525,0.01449891,0.21021842,-0.00996425,0.00996425,-0.00996425,0.20025417,1.00000000,0.00000000,0.00000000,0.64134211,0
102.000,-3.52103636,0.01449888,0.21021760,-0.00996341,0.00996341,-0.00996341,0.20025419,1.00000000,0.00000000,0.00000000,0.98827178,0
103.000,-3.50653749,0.01449885,0.21021676,-0.00996255,0.00996255,-0.00996255,0.20025421,1.00000000,0.00000000,0.00000000,0.47479675,0
104.000,-3.49203865,0.01449882,0.21021590,-0.00996167,0.00996167,-0.00996167,0.20025423,1.00000000,0.00000000,0.00000000,0.12508527,0
105.000,-3.47753984,0.01449879,0.21021502,-0.00996077,0.00996077,-0.00996077,0.20025425,1.00000000,0.00000000,0.00000000,0.54159722,0
106.000,-3.46304106,0.01449876,0.21021412,-0.00995985,0.00995985,-0.00995985,0.20025427,1.00000000,0.00000000,0.00000000,0.85150069,0
107.000,-3.44854232,0.01449873,0.21021320,-0.00995891,0.00995891,-0.00995891,0.20025430,1.00000000,0.00000000,0.00000000,0.26093757,0
108.000,-3.43404360,0.01449870,0.21021226,-0.00995794,0.00995794,-0.00995794,0.20025432,1.00000000,0.00000000,0.00000000,0.97526535,0
109.000,-3.41954492,0.01449867,0.21021129,-0.00995695,0.00995695,-0.00995695,0.20025434,1.00000000,0.00000000,0.00000000,0.07628661,0
110.000,-3.40504627,0.01449863,0.21021031,-0.00995594,0.00995594,-0.00995594,0.20025436,1.00000000,0.00000000,0.00000000,0.68520562,0
111.000,-3.39054766,0.01449860,0.21020930,-0.00995491,0.00995491,-0.00995491,0.20025439,1.00000000,0.00000000,0.00000000,0.40078224,0
112.000,-3.37604908,0.01449856,0.21020826,-0.00995385,0.00995385,-0.00995385,0.20025441,1.00000000,0.00000000,0.00000000,0.15363687,0
113.000,-3.36155054,0.01449852,0.21020720,-0.00995277,0.00995277,-0.00995277,0.20025444,1.00000000,0.00000000,0.00000000,0.65037182,0
114.000,-3.34705203,0.01449849,0.21020612,-0.00995166,0.00995166,-0.00995166,0.20025446,1.00000000,0.00000000,0.00000000,0.41900200,0
115.000,-3.33255356,0.01449845,0.21020501,-0.00995053,0.00995053,-0.00995053,0.20025449,1.00000000,0.00000000,0.00000000,0.95017441,0
116.000,-3.31805513,0.01449841,0.21020388,-0.00994936,0.00994936,-0.00994936,0.20025451,1.00000000,0.00000000,0.00000000,0.19956385,0
117.000,-3.30355674,0.01449837,0.21020272,-0.00994818,0.00994818,-0.00994818,0.20025454,1.00000000,0.00000000,0.00000000,0.13374660,0
118.000,-3.28905839,0.01449833,0.21020153,-0.00994696,0.00994696,-0.00994696,0.20025457,1.00000000,0.00000000,0.00000000,0.93287141,0
119.000,-3.27456009,0.01449829,0.21020031,-0.00994572,0.00994572,-0.00994572,0.20025460,1.00000000,0.00000000,0.00000000,0.47158213,0
120.000,-3.26006182,0.01449824,0.21019907,-0.00994444,0.00994444,-0.00994444,0.20025463,1.00000000,0.00000000,0.00000000,0.79916843,0
121.000,-3.24556360,0.01449820,0.21019779,-0.00994314,0.00994314,-0.00994314,0.20025466,1.00000000,0.00000000,0.00000000,0.98387771,0
122.000,-3.23106542,0.01449815,0.21019649,-0.00994180,0.00994180,-0.00994180,0.20025469,1.00000000,0.00000000,0.00000000,0.82049099,0
123.000,-3.21656729,0.01449811,0.21019516,-0.00994044,0.00994044,-0.00994044,0.20025472,1.00000000,0.00000000,0.00000000,0.08938235,0
124.000,-3.20206920,0.01449806,0.21019379,-0.00993904,0.00993904,-0.00993904,0.20025475,1.00000000,0.00000000,0.00000000,0.73956862,0
125.000,-3.18757117,0.01449801,0.21019239,-0.00993761,0.00993761,-0.00993761,0.20025478,1.00000000,0.00000000,0.00000000,0.80898431,0
126.000,-3.17307318,0.01449796,0.21019096,-0.00993614,0.00993614,-0.00993614,0.20025482,1.00000000,0.00000000,0.00000000,0.81967445,0
127.000,-3.15857524,0.01449791,0.21018950,-0.00993465,0.00993465,-0.00993465,0.20025485,1.00000000,0.00000000,0.00000000,0.08848182,0
128.000,-3.14407735,0.01449786,0.21018800,-0.00993311,0.00993311,-0.00993311,0.20025489,1.00000000,0.00000000,0.00000000,0.67261811,0
129.000,-3.12957951,0.01449781,0.21018646,-0.00993154,0.00993154,-0.00993154,0.20025492,1.00000000,0.00000000,0.00000000,0.41531120,0
130.000,-3.11508173,0.01449775,0.21018489,-0.00992994,0.00992994,-0.00992994,0.20025496,1.00000000,0.00000000,0.00000000,0.60315900,0
131.000,-3.10058400,0.01449770,0.21018329,-0.00992829,0.00992829,-0.00992829,0.20025500,1.00000000,0.00000000,0.00000000,0.41228485,0
132.000,-3.08608633,0.01449764,0.21018164,-0.00992661,0.00992661,-0.00992661,0.20025503,1.00000000,0.00000000,0.00000000,0.65390712,0
133.000,-3.07158872,0.01449758,0.21017996,-0.00992489,0.00992489,-0.00992489,0.20025507,1.00000000,0.00000000,0.00000000,0.20071123,0
134.000,-3.05709116,0.01449753,0.21017824,-0.00992312,0.00992312,-0.00992312,0.20025511,1.00000000,0.00000000,0.00000000,0.15190919,0
135.000,-3.04259367,0.01449746,0.21017648,-0.00992132,0.00992132,-0.00992132,0.20025516,1.00000000,0.00000000,0.00000000,0.20690317,0
136.000,-3.02809623,0.01449740,0.21017467,-0.00991947,0.00991947,-0.00991947,0.20025520,1.00000000,0.00000000,0.00000000,0.93954154,0
137.000,-3.01359886,0.01449734,0.21017283,-0.00991758,0.00991758,-0.00991758,0.20025524,1.00000000,0.00000000,0.00000000,0.89038056,0
138.000,-2.99910156,0.01449727,0.21017094,-0.00991565,0.00991565,-0.00991565,0.20025529,1.00000000,0.00000000,0.00000000,0.32702639,0
139.000,-2.98460432,0.01449721,0.21016900,-0.00991367,0.00991367,-0.00991367,0.20025533,1.00000000,0.00000000,0.00000000,0.04732096,0
140.000,-2.97010714,0.01449714,0.21016702,-0.00991164,0.00991164,-0.00991164,0.20025538,1.00000000,0.00000000,0.00000000,0.44001956,0
141.000,-2.95561004,0.01449707,0.21016500,-0.00990957,0.00990957,-0.00990957,0.20025542,1.00000000,0.00000000,0.00000000,0.78238699,0
